1749049748090044	0	160
1749049748090185	0	301
1749049748090221	0	337
1749049748090305	0	421
1749049748090351	0	467
1749049748090403	0	519
1749049748090445	0	561
1749049748090544	0	660
1749049748090656	0	772
1749049748090700	0	816
1749049748090736	0	852
1749049748090779	0	895
1749049748090841	0	957
1749049748090887	0	1003
1749049748090952	0	1068
1749049748091004	0	1120
1749049748091050	0	1166
1749049748091097	0	1213
1749049748091145	0	1261
1749049748091180	0	1296
1749049748091246	0	1362
1749049748091299	0	1415
1749049748091357	0	1473
1749049748091420	0	1536
1749049748091497	0	1613
1749049748091547	0	1663
1749049748091605	0	1721
1749049748091695	0	1811
1749049748091758	0	1874
1749049748091836	0	1952
1749049748091873	0	1989
1749049748091913	0	2029
1749049748091950	0	2066
1749049748091997	0	2113
1749049748092073	0	2189
1749049748092123	0	2239
1749049748092190	0	2306
1749049748092240	0	2356
1749049748092292	0	2408
1749049748092338	0	2454
1749049748092406	0	2522
1749049748092467	0	2583
1749049748092521	0	2637
1749049748092556	0	2672
1749049748092607	0	2723
1749049748092669	0	2785
1749049748092706	0	2822
1749049748092761	0	2877
1749049748092803	0	2919
1749049748092877	0	2993
1749049748092948	0	3064
1749049748092991	0	3107
1749049748093051	0	3167
1749049748093110	0	3226
1749049748093181	0	3297
1749049748093246	0	3362
1749049748093302	0	3418
1749049748093364	0	3480
1749049748093411	0	3527
1749049748093476	0	3592
1749049748093524	0	3640
1749049748093571	0	3687
1749049748093639	0	3755
1749049748093676	0	3792
1749049748093723	0	3839
1749049748093772	0	3888
1749049748093827	0	3943
1749049748093857	0	3973
1749049748093915	0	4031
1749049748093969	0	4085
1749049748094015	0	4131
1749049748094081	0	4197
1749049748094142	0	4258
1749049748094205	0	4321
1749049748094273	0	4389
1749049748094330	0	4446
1749049748094370	0	4486
1749049748094409	0	4525
1749049748094446	0	4562
1749049748094488	0	4604
1749049748094526	0	4642
1749049748094564	0	4680
1749049748094615	0	4731
1749049748094665	0	4781
1749049748094698	0	4814
1749049748094751	0	4867
1749049748094796	0	4912
1749049748094856	0	4972
1749049748094906	0	5022
1749049748094961	0	5077
1749049748095005	0	5121
1749049748095054	0	5170
1749049748095100	0	5216
1749049748095163	0	5279
1749049748095213	0	5329
1749049748095261	0	5377
1749049748095341	0	5457
1749049748095426	0	5542
1749049748095481	0	5597
1749049748095534	0	5650
1749049748095594	0	5710
1749049748095659	0	5775
1749049748095723	0	5839
1749049748095784	0	5900
1749049748095843	0	5959
1749049748095906	0	6022
